bug编号	描述	责任人	解决情况	优先级	备注
type	String	String	String	String	String	String
37	录像有时上传失败问题	高凯	4 待修复	3   中	
44	皮肤界面出现时间缓慢	高凯	4 待修复	3   中	
40	关卡选择界面有时会有接缝	贺冬俊	4 待修复	2   低	
41	无尽死亡界面钻石数超过5位数时显示不正常	贺冬俊	4 待修复	2   低	
46	断网情况下没有提示玩家（第二次断网）	贺冬俊	1 修复	2   低	
48	一开始进游戏没有主界面音乐	贺冬俊	3 待测试	2   低	
27	史莱姆走出一段距离再复活，绳子向下扔问题	高凯	3 待测试	3   中	
35	放置一段时间后断开连接，但是前端没有提示	贺冬俊	1 修复	3   中	
5	ios ipv6支持	高凯	1 修复	5 紧急	
17	GameCenter登录异常	高凯	1 修复	5 紧急	
1	登陆一次解锁一个关卡	贺冬俊	1 修复	4   高	
2	擂主信息更新前后端表现不一致	高凯	1 修复	4   高	
7	新的账号系统 （只有gameCenter账户）	贺冬俊	1 修复	4   高	
8	断网情况下，关卡模式会出现logo不消失的情况下	贺冬俊	1 修复	4   高	
16	重新登录游戏重发关卡记录异常	贺冬俊	1 修复	4   高	
29	无尽模式排行榜数据错误	高凯	1 修复	4   高	
3	擂主日清奖励	高凯	1 修复	3   中	
4	无尽模式起步出现两个重叠	贺冬俊	1 修复	3   中	
6	home 闪退	贺冬俊	1 修复	3   中	
11	录像回放怪物表现异常	高凯	1 修复	3   中	
12	录像增加下载进度	高凯	1 修复	3   中	
13	史莱姆在低速状态下表现异常	高凯	1 修复	3   中	
14	只能关音乐不能关音效	贺冬俊	1 修复	3   中	
19	关卡选择界面 有接缝	贺冬俊	1 修复	3   中	
21	录像左上角显示的最高分是自己的分数	贺冬俊	1 修复	3   中	
23	皮肤钻石解锁失败	贺冬俊	1 修复	3   中	
24	通关时间以毫秒计	贺冬俊	1 修复	3   中	
25	时间长了录像会失效，史莱姆停止不动	高凯	1 修复	3   中	
26	地图闪烁问题	高凯	1 修复	3   中	
30	加载时间依旧缓慢	贺冬俊	1 修复	3   中	
31	无尽模式重来金币外观没有重置	高凯	1 修复	3   中	
32	食人花的intoX exitX 有误	贺冬俊	1 修复	3   中	
33	关卡擂主钻石没更新	高凯	1 修复	3   中	
34	20关通关后，没有解锁表现	贺冬俊	1 修复	3   中	需删除游戏再重装才能看到表现
38	分享框是一个黑底很难看	贺冬俊	1 修复	3   中	
45	录像解析失败，游戏卡死	高凯	1 修复	3   中	
9	第一次复制时间过久	贺冬俊	1 修复	2   低	
10	第55关背景出现BUG	高凯	1 修复	2   低	
15	擂主通关表现异常	贺冬俊	1 修复	2   低	
18	新的账号系统 v2.0 （设备号与gameCenter兼容）	高凯	1 修复	2   低	
20	关卡擂主缓存起来	贺冬俊	1 修复	2   低	
22	通关时间以毫秒计	贺冬俊	1 修复	2   低	
28	无尽模式结算UI错位	高凯	1 修复	2   低	
36	关卡选择界面钻石自适应问题	高凯	1 修复	2   低	
39	关卡结算界面获得钻石动画 如果切换了关卡，钻石数目会不对	贺冬俊	1 修复	2   低	
42	擂主奖励钻石动画，有时会没有播完	贺冬俊	1 修复	2   低	
43	打完20关以后没有主动回到关卡界面	贺冬俊	1 修复	2   低	
47	新手引导史莱姆模糊	高凯	1 修复	2   低	
49	jahgjasdf,"ad,asd",asdasf,sdf,dgf,sd				
50					
51					
52					
53					
54					
